Sentence,Sentimen
PSSI buka suara soal acara Fun Football bersama FIFA yang mendapat kritik karena dinilai tak berempati di tengah duka Tragedi Kanjuruhan. Apa kata PSSI?,0
Semalam ternyata ada Fun Football para Petinggi FIFA dan PSSI di Stadion Madya. Komentarnya?,0
Emang tujuan fifa ke Indonesia buat ngelayat ke makam korban? Lah wong tujuan fifa ke sini buat benahi sepakbola di Indonesia..lawak bgt sumpah orang² kayak gini,0
"18 Oktober 2022, Harusnya Iwan Bule dan Iwan Budianto diperiksa sebagai saksi Tragedi Kanjuruhan. Namun Polda Jatim, menerima surat permohonan penundaan pemeriksaan yang dilayangkan PSSI. Dengan alasan ada kegiatan lainnya yang sdh dijadwalkan lama sehingga tak bisa ditunda.",0
"Orang2 Fifa ke Indonesia tuh bukan buat ikut tahlilan, tapi buat bantu benerin kualitas Liga.. Ngapain disuruh2 kerumah korban 1 1.. gaess, berduka boleh tapi jgn berlarut2. Masih panjang perjalanan sepakbola tanah air. Reformasi PSSI utk sepakbola yang lebih baik.",0
"Iya makanya bro, hasil rapat presiden sama FIFA kemarin kan di ataranya bakalan mengkaji ulang pemangku kepentingan di PSSI, itu butuh waktu, sabar aja, nanti bakalan ada yang ditangkap, FIFA ke Indonesia juga bukan cuman Fun Football doang kok, mereka juga mempertaruhkan reputasi",0
"Wakil Ketua PSSI, Iwan Budianto menanggapi enteng kecaman publik terhadap gelaran Fun Football PSSI dan FIFA. Simbol Optimisme katanya",0
"Sayangnya, kunjungan FIFA ke Indonesia mendapat respons negatif di media sosial. Kegiatan FIFA yang menggelar fun football dengan PSSI menuai kritik karena dinilai tak menunjukkan empati terhadap korban tragedi Kanjuruhan.",0
"Menurut Sekjen PSSI Yunus Nusi, agenda Fun Football di Stadion Madya tadi malam adalah ajakan dari Presiden FIFA Gianni Infantino. Ini bagian dari keinginan beliau: apapun bisa terjadi di dunia tetapi sepak bola diharapkan tetap jalan, (YUNUS NUSI).",1
"Terus apa gunanya kalian ribut ribut begini, apakah ada solusi dari kalian, syukur FIFA mau datang bantu sepakbola Indonesia, masih saja ada salahnya, sampai kapan kita berduka, sekarang bukan saatnya bersedih, saatny kita berkumpul dan kasih solusi, bukan hujat sana hujat sini",1
"presiden fifa kan konteksnya sepak bola yaa. sepak bola di dunia punya arti banyak bisa membantu,mempererat hubungan dll. fun football itu kayak tanda kerjasama ibarat ada korban tsunami terus negara lain sumbang,kan ada sesi foto salaman terus senyum.",1
"Bocil² disini mana paham soal itu. Sama kyak konser dulu tsunami aid: concert of hope artinya mereka melegitimasi dan respect terhadap indonesia. Sumbangan2 di salurkan ke korban². Ini FIFA mau build ulang, datang orang² ini masih sibuk dgn duka duka.",1
"“Jadi di sepakbola apapun bisa terjadi, tetapi sepakbola harus jalan. Kita paham bahwa kita harus berbelasungkawa, tetapi kita juga harus berharap sepakbola juga tetap harus berjalan. Itu pernyataan Presiden FIFA ke kami”",1
"Korban meninggal Tragedi Kanjuruhan bertambah, ini orang-orang malah cengengesan main fun football. PSSI sama FIFA ini sama aja. Sampah kabeh!!!",-1
Kalian sedang asik bermain fun football di jakarta bersama FIFA teman teman kami lagi berjuang untuk hidup dan semakin banyak juga yg meninggal bangsat ga punya hati nurani kalian ini @PSSI @FIFAcom,-1
"Sejauh yg saya tahu, per pagi ini, masih ada 3 korban Kanjuruhan dlm kondisi kritis. Kemarin2 banyak banget yg komen sampe kapan berdukanya? gara2 netijen pada jengkel dgn fun football PSSI x FIFA. Ya memang masih berduka. Masih ada yg sedang berjuang di ICU... blok goblok.",-1
"Tadinya, saya berpikir @PSSI mengajak @FIFAcom berkunjung ke Malang tuk berempati dan simpati kepada keluarga 133 korban meninggal #TragediKanjuruhan. Entah siapa yg menginisiasi tetiba memilih bersenang-senang dgn fun football di saat tanah kubur masih basah. Dimana nuraninya?",-1
"133 Orang meninggal dalam tragedi Kanjuruhan dan FIFA malah melakukan Fun Football bareng PSSI. Keluarga korban mungkin masih dalam suasana duka, investigasi juga belum selesai. Mereka malah asik bersenang-senang.",-1
"Mustahil memisahkan sepakbola dengan politik. Sementara politik akan selalu lekat dengan pembentukan citra untuk memenangkan hati dan suara publik. Namun, praktik pencitraan fun football yang dilakukan oleh PSSI dan FIFA salah kaprah. Sebuah utas",-1
"Yoi kan mereka maunya yg fun² aja, diliat dari sisi mana pun tetap aneh mereka, liga dihentikan tp malah adain fun football dengan alasan FIFA yg minta kalo ada hati nurani dan otak ya bisa nolak dengan alasan masih berduka. Sisi sentimen itu yg tdk dimiliki PSSI sekarang",-1
"sebenarnya emang paling benar, kompetisi stop sampai ada perbaikan di federasi. tp lah pssi sama fifa e malah fun football gitu, apa yg mau diharapin? gimana opung aja yg dijadikan ketum pssi",-1
"dear FIFA, besok2 kalo ada rencana lagi bertemu dengan para pengurus PSSI cobalah ajak mereka untuk fun mundur dari kepengurusan. Sebagaimana kalian berhasil mengajak mereka fun football dari tragedi kanjuruhan.",-1
"PM Inggris salah kirim email aja langsung mengundurkan diri, sementara di Indonesia, 133 suporter termasuk remaja dan anak kecil mati, Ketum PSSI malah fun football sama Presiden FIFA. Belum lagi kebijakan Presiden Widodo, kengehekan Polisi... wasaalaaaam",-1
kata PSSI fun football atas keinginan presiden FIFA!!! kok keinginan rakyat se-Indonesia untuk ketua dan pengurus PSSI mundur atas tragedi Kanjuruhan gak di sanggupi!!! ah payah kalau berurusan sama yg bermuka tembok!!!,-1
"Katanya pemerintah kerjasama khusus sm FIFA, sampe2 banyak yg seneng karena presiden gak pernah nyebut PSSI ketika presscon. Lah FIFA nya malah fun football sama PSSI. Makanya gausah berharap banyak sm yg namanya pejabat, entah itu di PSSI, FIFA atau pemerintah.",-1
udah tetap semangat kita harus move on dari tragedi kanjuruan demi majunya sepakbola kita. Kita tau yg kejadia kemarin itu sangat menyayat hati tapi jika kita terus berlarut dalam kesedihan tidak akan merubah apa-apa. Benar tidak semua pendapat kita di trima orang,1