,SentenceId,Sentence,Indonesia,Sentiment,preprocessing_result
0,8082,"Weighted down with slow , uninvolving storytelling and flat acting .","Tertimbang dengan lambat, omong kosong bercerita dan akting datar.",0,timbang lambat omong kosong cerita akting datar
1,7560,"A classy , sprightly spin on film .",Spin berkelas dan sigap di film.,1,spin kelas sigap film
2,3831,"Lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story to show us why it 's compelling .","Pembuatan film malas, dengan sutradara mengambil pendekatan hands-off saat seharusnya dia membentuk cerita untuk menunjukkan pada kita mengapa ini menarik.",0,buat film malas sutradara ambil dekat handsoff harus bentuk cerita tunjuk kita ini tarik
3,5614,It is n't quite one of the worst movies of the year .,Ini bukan salah satu film terburuk tahun ini.,0,bukan salah satu film buruk tahun
4,7549,"Features nonsensical and laughable plotting , wooden performances , ineptly directed action sequences and some of the worst dialogue in recent memory .","Fitur plot yang tidak masuk akal dan menggelikan, pertunjukan kayu, urutan tindakan yang tidak benar, dan beberapa dialog terburuk dalam ingatan terakhir.",0,fitur plot tidak masuk akal geli tunjuk kayu urut tindak tidak benar beberapa dialog buruk ingat akhir
5,322,It appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept .,Tampaknya dibuat oleh orang-orang yang gagasan logika atau kohesi naratif adalah konsep yang sama sekali asing.,0,tampak buat orangorang gagas logika kohesi naratif konsep sama sekali asing
6,4284,"Call it magic realism or surrealism , but Miss Wonton floats beyond reality with a certain degree of wit and dignity .","Sebut itu sihir realisme atau surealisme, tapi Miss Wonton mengapung melampaui kenyataan dengan tingkat kecerdasan dan martabat tertentu.",1,sebut sihir realisme surealisme miss wonton apung lampau nyata tingkat cerdas martabat
7,95,Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .,Hampir tidak layak disebutkan selain melaporkan jumlah tumbleweeds yang bertiup melalui bioskop kosong yang menghiasi perusahaannya.,0,hampir layak sebut lapor jumlah tumbleweeds tiup lalu bioskop kosong hias usaha
8,7979,The thought of watching this film with an audience full of teenagers fixating on its body humour and reinforcement of stereotypes -LRB- of which they 'll get plenty -RRB- fills me with revulsion .,Gagasan menonton film ini dengan penonton yang penuh dengan remaja yang memusatkan perhatian pada humor tubuhnya dan penguatan stereotip -LRB-yang akan mereka dapatkan banyak -RRB-memenuhi saya dengan jijik.,0,gagas tonton film tonton penuh dengan remaja pusat perhati humor tubuh kuat stereotip lrbyang mereka banyak rrbmemenuhi dengan jijik
9,3073,A refreshing change from the usual whoopee-cushion effort aimed at the youth market .,Sebuah perubahan yang menyegarkan dari usaha sapaan biasa yang ditujukan untuk pasar anak muda.,1,buah ubah segar usaha sapa biasa tuju pasar anak muda
10,297,"While maintaining the appearance of clinical objectivity , this sad , occasionally horrifying but often inspiring film is among Wiseman 's warmest .","Sambil mempertahankan penampilan objektivitas klinis, film sesekali yang mengerikan namun sering menginspirasi ini merupakan salah satu prediktor Wiseman.",1,tahan tampil objektivitas klinis film sekal keri sering inspirasi rupa salah satu prediktor wiseman
11,4143,It 's the kind of effectively creepy-scary thriller that has you fixating on a far corner of the screen at times because your nerves just ca n't take it any more .,Ini adalah jenis thriller menakutkan menyeramkan yang menakutkan yang membuat Anda kadang-kadang terpaku di ujung layar karena saraf Anda tidak tahan lagi.,1,adalah jenis thriller takut seram takut buat kadangkadang terpa ujung layar saraf tidak tahan
12,7915,Such a bad movie that its luckiest viewers will be seated next to one of those ignorant pinheads who talk throughout the show .,Seperti film buruk yang pemirsa paling beruntung akan duduk di samping salah satu pinheads bodoh yang berbicara di seluruh pertunjukan.,0,film buruk pirsa paling untung duduk samping salah satu pinheads bodoh bicara seluruh tunjuk
13,1395,This thing is virtually unwatchable .,Hal ini hampir tidak bisa ditebak.,0,ini hampir bisa tebak
14,4125,"In that setting , their struggle is simply too ludicrous and borderline insulting .","Dalam situasi itu, perjuangan mereka terlalu menggelikan dan membatasi penghinaan.",0,situasi juang terlalu geli batas hina
15,2212,"Rich in shadowy metaphor and as sharp as a samurai sword , Jiang Wen 's Devils on the Doorstep is a wartime farce in the alternately comic and gut-wrenching style of Joseph Heller or Kurt Vonnegut .","Kaya dengan metafora bayangan dan setajam pedang samurai, Iblis Jiang Wen di ambang pintu adalah lelucon masa perang dengan gaya komik dan norak komik Joseph Heller atau Kurt Vonnegut.",1,kaya metafora bayang tajam pedang samurai iblis jiang wen ambang pintu lelucon masa perang gaya komik norak komik joseph heller kurt vonnegut
16,6524,"If anything , the film is doing something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans .","Jika ada, film ini melakukan sesuatu dari layanan publik - menyoroti sekelompok musisi yang sangat berbakat yang mungkin tidak diperhatikan dan kurang mendapat penghargaan dari penggemar musik.",1,ada film laku layan publik sorot kelompok musisi sangat bakat mungkin perhati kurang harga dari gemar musik
17,1674,"The movie 's plot is almost entirely witless and inane , carrying every gag two or three times beyond its limit to sustain a laugh .","Plot film hampir seluruhnya witless dan inane, membawa setiap gag dua atau tiga kali di luar batas untuk mempertahankan tawa.",0,plot film hampir seluruh witless inane bawa tiap gag atau tiga kali luar batas tahan tawa
18,6018,One of the most exciting action films to come out of China in recent years .,Salah satu film aksi paling seru untuk keluar dari China dalam beberapa tahun terakhir.,1,salah satu film aksi paling seru keluar china beberapa tahun akhir
19,683,"The year 's greatest adventure , and Jackson 's limited but enthusiastic adaptation has made literature literal without killing its soul -- a feat any thinking person is bound to appreciate .","Petualangan terbesar tahun ini, dan adaptasi Jackson yang terbatas namun antusias telah membuat literatur literal tanpa membunuh jiwanya - sebuah prestasi yang bisa dipastikan oleh seseorang yang berpikir.",1,tualang besar tahun dan adaptasi jackson batas antusias buat literatur literal bunuh jiwa buah prestasi bisa oleh orang pikir
20,7456,"Unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .","Tanpa terbengong-bengong dengan dengungan Anda-ada-ada saat peluru mulai terbang, naluri pertama Anda adalah bebek.",1,terbengongbengong dengung andaadaada peluru mulai terbang naluri pertama adalah bebek
21,7942,"With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .","Dengan Dirty Deeds, David Caesar telah melangkah ke arus utama pembuatan film dengan sebuah jaminan yang layak mendapat pengakuan internasional dan dengan setiap alat sinematik berada di bawah kendalinya - yang didorong oleh rasa alami untuk apa yang bekerja di layar.",1,dirty deeds david caesar lang arus utama buat film buah jamin layak aku internasional dengan tiap alat sinematik bawah kendali dorong rasa alami apa kerja di layar
22,2250,It shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there 's a little girl-on-girl action .,Ini menunjukkan bahwa beberapa studio sangat percaya bahwa orang telah kehilangan kemampuan untuk berpikir dan akan memaafkan produk buruk selama ada tindakan gadis kecil.,0,tunjuk beberapa studio sangat percaya orang hilang mampu pikir akan maaf produk buruk lama tindak gadis kecil
23,2198,One of the very best movies ever made about the life of moviemaking .,Salah satu film terbaik yang pernah dibuat tentang kehidupan pembuatan film.,1,salah satu film baik pernah buat hidup buat film
24,7888,The comedy is nonexistent .,Komedi itu tidak ada.,0,komedi tidak
25,5214,There is nothing funny in this every-joke-has - been-told-a - thousand-times - before movie .,Tidak ada yang lucu dalam film bergengsi ini - pernah - diceritakan - seribu kali - sebelum film ini.,0,ada lucu film gengsi pernah cerita ribu kali film
26,2709,You 'll find yourself wishing that you and they were in another movie .,Anda akan menemukan diri Anda berharap bahwa Anda dan mereka berada di film lain.,0,akan temu diri harap anda mereka di film
27,1188,The large-format film is well suited to capture these musicians in full regalia and the incredible IMAX sound system lets you feel the beat down to your toes .,Film berformat besar sangat cocok untuk menangkap para pemusik ini dalam regalia penuh dan sistem suara IMAX yang luar biasa memungkinkan Anda merasakan irama jari kaki Anda.,1,film format besar sangat cocok tangkap musik dalam regalia penuh sistem suara imax luar biasa mungkin rasa irama jari kaki
28,1785,"A delightful , if minor , pastry of a movie .","Kue yang menyenangkan, jika kecil, dari sebuah film.",1,kue senang kecil buah film
29,7234,a screenplay more ingeniously constructed than `` Memento '',Sebuah skenario yang lebih cerdik dibangun daripada 'Memento' ',1,buah skenario lebih cerdik bangun memento
30,1585,An engrossing and infectiously enthusiastic documentary .,Dokumenter yang mengasyikkan dan sangat antusias.,1,dokumenter asyik sangat antusias
31,408,Consistently clever and suspenseful .,Konsisten pandai dan menegangkan.,1,konsisten pandai tegang
32,491,This overproduced piece of dreck is shockingly bad and absolutely unnecessary .,Potongan bor yang terlalu banyak ini sangat buruk dan sama sekali tidak perlu.,0,potong bor terlalu banyak sangat buruk sama sekali perlu
33,2591,"Due to stodgy , soap opera-ish dialogue , the rest of the cast comes across as stick figures reading lines from a TelePrompTer .","Karena bosan, dialog sinetron, para pemeran lainnya tampil sebagai tokoh stick yang membaca baris dari TelePrompTer.",0,bosan dialog sinetron per tampil bagai tokoh stick baca baris teleprompter
34,1132,"Light , silly , photographed with colour and depth , and rather a good time .","Cahaya, konyol, difoto dengan warna dan kedalaman, dan agak waktu yang tepat.",1,cahaya konyol foto warna dalam agak waktu tepat
35,5871,"A deftly entertaining film , smartly played and smartly directed .","Sebuah film yang sangat menghibur, dipandu dengan cerdas dan diarahkan dengan cerdas.",1,buah film sangat hibur pandu cerdas arah cerdas
36,6564,The best animated feature to hit theaters since Beauty and the Beast 11 years ago .,Fitur animasi terbaik untuk tonton bioskop sejak Beauty and the Beast 11 tahun yang lalu.,1,fitur animasi baik tonton bioskop sejak beauty and the beast 11 tahun lalu
37,2668,This is one of those war movies that focuses on human interaction rather than battle and action sequences ... and it 's all the stronger because of it .,Ini adalah salah satu film perang yang berfokus pada interaksi manusia daripada urutan pertempuran dan tindakan ... dan ini semua lebih kuat karenanya.,1,adalah salah satu film perang fokus interaksi manusia urut tempur tindak ini semua lebih kuat
38,1086,A poignant and gently humorous parable that loves its characters and communicates something rather beautiful about human nature .,Perumpamaan yang lembut dan lembut yang mencintai karakternya dan mengkomunikasikan sesuatu yang agak cantik tentang sifat manusia.,1,umpama lembut lembut cinta karakter komunikasi yang cantik sifat manusia
39,1443,A generic bloodbath that often becomes laughably unbearable when it is n't merely offensive .,Pertumpahan darah generik yang sering menjadi tak tertahankan tak tertahankan bila tidak hanya menyinggung perasaan.,0,tumpah darah generik sering jadi tak tahan tak tahan bila hanya singgung asa
40,6881,Directors Brett Morgen and Nanette Burstein have put together a bold biographical fantasia .,Direktur Brett Morgen dan Nanette Burstein telah mengumpulkan fantasia biografis yang berani.,1,direktur brett morgen nanette burstein kumpul fantasia biografis berani
41,8444,"Sunk by way too much indulgence of scene-chewing , teeth-gnashing actorliness .","Suka terlalu banyak menikmati adegan kunyah, gigi-kertak.",0,suka terlalu banyak nikmat adegan kunyah gigikertak
42,1856,Men in Black II achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as Whiffle-Ball epic .,Pria di Black II mencapai nilai penting yang paling tinggi - ini adalah tontonan komedi sci-fi sebagai epik Whiffle-Ball.,0,pria black ii capai nilai penting paling tinggi adalah tonton komedi scifi bagai epik whiffleball
43,4938,Insanely hilarious !,Gila lucu,1,gila lucu
44,7398,"You see the movie and you think , zzzzzzzzz .","Anda melihat film dan Anda berpikir, zzzzzzzzz.",0,lihat film anda pikir zzzzzzzzz
45,3452,"Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .","Yang lain, yang lebih terbiasa dengan paham anarkis bahwa `dorongan untuk menghancurkan juga merupakan dorongan kreatif ', atau lebih bersedia untuk melihat dengan mata kepala sendiri, akan menemukan penggunaan teknologi iconoclastic Morrison untuk membebaskan.",1,lain lebih biasa paham anarkis dorong hancur rupa dorong kreatif lebih sedia lihat mata kepala sendiri temu teknologi iconoclastic morrison bebas
46,7821,The most repugnant adaptation,Adaptasi yang paling menjijikkan,0,adaptasi paling jijik
47,4140,"... a cheap , ludicrous attempt at serious horror .",... sebuah usaha murahan yang mengerikan dan menyeramkan.,0,buah usaha murah keri seram
48,5141,"... an airless , prepackaged Julia Roberts wannabe that stinks so badly of hard-sell image-mongering you 'll wonder if Lopez 's publicist should share screenwriting credit .","... Julia Roberts yang mengapung dan tercelup, yang sangat busuk karena berjejer-menjual barang, Anda akan bertanya-tanya apakah humas Lopez harus berbagi kredit penulisan skenario.",0,julia roberts apung celup sangat busuk berjejermenjual barang akan bertanyatanya humas lopez bagi kredit tulis skenario
49,767,"A muddled limp biscuit of a movie , a vampire soap opera that does n't make much sense even on its own terms .","Sebuah biskuit lusuh yang kabur dari sebuah film, sebuah sinetron vampir yang tidak masuk akal bahkan dengan caranya sendiri.",0,buah biskuit lusuh kabur buah film buah sinetron vampir tidak masuk akal bahkan cara sendiri
50,4749,"The secrets of time travel will have been discovered , indulged in and rejected as boring before I see this piece of crap again .","Rahasia perjalanan waktu akan ditemukan, masuk dan ditolak sebagai membosankan sebelum saya melihat omong kosong ini lagi.",0,rahasia jalan waktu temu masuk tolak bagai bosan saya lihat omong kosong lagi
51,317,"Except it 's much , much better .","Kecuali itu jauh, jauh lebih baik.",1,itu jauh jauh lebih baik
52,2049,"Proof once again that if the filmmakers just follow the books , they ca n't go wrong .","Bukti sekali lagi bahwa jika pembuat film mengikuti buku saja, mereka tidak bisa salah.",1,bukti sekali bahwa buat film ikut buku mereka bisa salah
53,3945,"... plenty of warmth to go around , with music and laughter and the love of family .","... banyak kehangatan untuk pergi berkeliling, dengan musik dan tawa dan cinta keluarga.",1,banyak hangat pergi keliling musik tawa cinta keluarga
54,6750,"A sexy , surprising romance ... Idemoto and Kim make a gorgeous pair ... their scenes brim with sexual possibility and emotional danger .",Roman yang seksi dan mengejutkan ... Idemoto dan Kim membuat pasangan cantik ... adegan mereka penuh dengan kemungkinan seksual dan bahaya emosional.,1,roman seksi kejut idemoto kim buat pasang cantik adegan penuh mungkin seksual bahaya emosional
55,6966,Huppert and Girardot give performances of exceptional honesty .,Huppert dan Girardot memberikan penampilan kejujuran yang luar biasa.,1,huppert girardot beri tampil jujur luar biasa
56,3978,"It 's packed with adventure and a worthwhile environmental message , so it 's great for the kids .","Ini dikemas dengan petualangan dan pesan lingkungan yang berharga, jadi sangat bagus untuk anak-anak.",1,kemas tualang pesan lingkung harga jadi sangat bagus anakanak
57,6059,The Irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .,Pemandangan Irwins sangat menarik; Film secara keseluruhan adalah sampah murah dan penghinaan terhadap usaha mereka yang menentang kematian.,0,pandang irwins sangat tarik film cara seluruh sampah murah hina hadap usaha yang mati
58,6781,"It 's a stale , overused cocktail using the same olives since 1962 as garnish .",Ini adalah koktail basi dan terlalu sering menggunakan buah zaitun yang sama sejak tahun 1962 sebagai hiasan.,0,adalah koktail basi terlalu sering buah zaitun sama sejak tahun 1962 bagai hias
59,2591,"Due to stodgy , soap opera-ish dialogue , the rest of the cast comes across as stick figures reading lines from a TelePrompTer .","Karena bosan, dialog sinetron, para pemeran lainnya tampil sebagai tokoh stick yang membaca baris dari TelePrompTer.",0,bosan dialog sinetron per tampil bagai tokoh stick baca baris teleprompter
60,4039,"The film is all over the place , really .","Film ini ada di mana-mana, sungguh.",0,film ada manamana sungguh
61,3770,"Hardly an objective documentary , but it 's great cinematic polemic ... love Moore or loathe him , you 've got to admire ... the intensity with which he 's willing to express his convictions .","Hampir tidak ada dokumenter yang objektif, tapi ini adalah polemik sinematik yang hebat ... cintai Moore atau bencilah dia, Anda harus mengagumi ... intensitas yang dengannya dia ingin mengungkapkan keyakinannya.",1,hampir ada dokumenter objektif ini polemik sinematik hebat cinta moore benci anda kagum intensitas dengan ingin ungkap yakin
62,678,-- but it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .,- Tapi itu membuat untuk salah satu yang paling murni menyenangkan dan memuaskan malam di bioskop aku sudah dalam beberapa saat.,1,itu buat salah satu paling murni senang muas malam bioskop aku dalam beberapa
63,2401,"An intelligent and deeply felt work about impossible , irrevocable choices and the price of making them .",Pekerjaan yang cerdas dan sangat terasa tentang pilihan yang tidak mungkin dan tidak dapat dibatalkan serta harga pembuatannya.,1,kerja cerdas sangat asa pilih tidak mungkin tidak batal harga buat
64,1772,"... the first 2\/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices -LRB- cool visual backmasking -RRB- , a solid cast , and some wickedly sick and twisted humor ...","... film 2 \ / 3 pertama sangat menawan dan sangat lucu, sebagian berkat perangkat cinematic yang menarik -LRB-backmasking visual keren -RRB-, pemeran yang solid, dan beberapa humor jahat dan lucu ...",1,film 2 3 pertama sangat tawan sangat lucu berkat perangkat cinematic tarik lrbbackmasking visual keren rrb per solid beberapa humor jahat lucu
65,3060,It is also beautifully acted .,Hal ini juga indah bertindak.,1,ini indah tindak
66,1688,"`` Bad '' is the operative word for `` Bad Company , '' and I do n't mean that in a good way .",`` Buruk '' adalah kata kerja untuk `` Bad Company '' dan saya tidak bermaksud demikian dengan cara yang baik.,0,buruk kata kerja bad company saya maksud dengan cara baik
67,1995,"An empty , purposeless exercise .",Latihan kosong tanpa tujuan.,0,latih kosong tuju
68,4363,"It 's funny , touching , dramatically forceful , and beautifully shot .","Lucu, menyentuh, dramatis, dan indah ditembak.",1,lucu sentuh dramatis indah tembak
69,1076,"Jagger , Stoppard and director Michael Apted ... deliver a riveting and surprisingly romantic ride .","Jagger, Stoppard dan sutradara Michael Apted ... memberikan perjalanan yang memukau dan mengejutkan.",1,jagger stoppard sutradara michael apted beri jalan pukau kejut
70,7291,Like a soft drink that 's been sitting open too long : it 's too much syrup and not enough fizz .,Seperti minuman ringan yang sudah terlalu lama dibuka: terlalu banyak sirup dan tidak cukup banyak omelan.,0,minum ringan sudah terlalu lama buka terlalu banyak sirup tidak cukup banyak omel
71,5315,"Bray is completely at sea ; with nothing but a Savage Garden music video on his resume , he has no clue about making a movie .","Bray benar-benar di laut; Dengan video musik Savage Garden di resume-nya, dia tidak tahu bagaimana membuat film.",0,bray benarbenar laut video musik savage garden resume tidak tahu bagaimana buat film
72,6195,The slam-bang superheroics are kinetic enough to engross even the most antsy youngsters .,Para superheroik slam-bang cukup kinetik untuk menelan bahkan anak-anak yang paling antsy sekalipun.,1,superheroik slambang cukup kinetik tel bahkan anakanak paling antsy sekalipun
73,6824,Almodovar is an imaginative teacher of emotional intelligence in this engaging film about two men who discover what William James once called ` the gift of tears . ',Almodovar adalah seorang guru imajinatif kecerdasan emosional dalam film menarik tentang dua pria yang menemukan apa yang pernah disebut oleh William James sebagai 'air mata. ',1,almodovar orang guru imajinatif cerdas emosional film tarik dua pria temu apa pernah sebut william james bagai air mata
74,7291,Like a soft drink that 's been sitting open too long : it 's too much syrup and not enough fizz .,Seperti minuman ringan yang sudah terlalu lama dibuka: terlalu banyak sirup dan tidak cukup banyak omelan.,0,minum ringan sudah terlalu lama buka terlalu banyak sirup tidak cukup banyak omel
75,7573,"Leave it to John Sayles to take on developers , the Chamber of Commerce , tourism , historical pageants , and commercialism all in the same movie ... without neglecting character development for even one minute .","Serahkan pada John Sayles untuk melibatkan pengembang, Kamar Dagang, pariwisata, kontes sejarah, dan komersialisme di film yang sama ... tanpa mengabaikan pengembangan karakter selama satu menit pun.",1,serah john sayles libat kembang kamar dagang pariwisata kontes sejarah komersial film sama abai kembang karakter lama satu menit
76,3905,"The script , the gags , the characters are all direct-to-video stuff , and that 's where this film should have remained .","Skrip, lelucon, karakter semuanya adalah barang langsung-ke-video, dan disitulah film ini seharusnya tetap ada.",0,skrip lelucon karakter semua barang langsungkevideo situ film harus tetap
77,3157,The movie is virtually without context -- journalistic or historical .,Film ini hampir tanpa konteks - jurnalistik atau sejarah.,0,film hampir konteks jurnalistik sejarah
78,552,"While the story is better-focused than the incomprehensible Anne Rice novel it 's based upon , Queen Of The Damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle .","Sementara ceritanya lebih terfokus daripada novel Anne Rice yang tidak dapat dipahami, berdasarkan Queen's The Damned adalah perayaan vampir gothic yang tak ada gunanya, menyiksa gaya hidup yang menyedihkan.",0,cerita lebih fokus novel anne rice tidak paham dasar queens the damned raya vampir gothic tak guna siksa gaya hidup sedih
79,8336,"When it comes out on video , then it 's the perfect cure for insomnia .","Saat keluar di video, maka itu adalah obat yang sangat tepat untuk insomnia.",0,keluar video itu obat sangat tepat insomnia
80,8069,"The AAA of action , XXX is a blast of adrenalin , rated EEE for excitement .","Tindakan AAA, XXX adalah ledakan adrenalin, memberi nilai EEE untuk kegembiraan.",1,tindak aaa xxx ledak adrenalin beri nilai eee gembira
81,252,"The only camouflage Carvey should now be considering is a paper bag to wear over his head when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers .","Satu-satunya yang kamuflase Carvey sekarang harus dipertimbangkan adalah kantong kertas yang dikenakan di atas kepalanya saat dia pergi ke tempat umum, untuk menghindari dikenali sebagai pria yang menangkis penonton bioskop yang tidak menaruh curiga.",0,satusatunya kamuflase carvey sekarang timbang kantong kertas kena atas kepala dia pergi tempat umum hindar nali bagai pria tangkis tonton bioskop tidak taruh curiga
82,67,"A smart , provocative drama that does the nearly impossible : It gets under the skin of a man we only know as an evil , monstrous lunatic .",Drama yang cerdas dan provokatif yang melakukan hal yang hampir tidak mungkin: Di bawah kulit pria yang hanya kita kenal sebagai orang gila yang mengerikan.,1,drama cerdas provokatif laku hampir mungkin bawah kulit pria hanya kenal bagai orang gila yang keri
83,5534,"Just another disjointed , fairly predictable psychological thriller .",Film thriller psikologis terputus-putus yang cukup diprediksi.,0,film thriller psikologis terputusputus cukup prediksi
84,1133,"... is funny in the way that makes you ache with sadness -LRB- the way Chekhov is funny -RRB- , profound without ever being self-important , warm without ever succumbing to sentimentality .","... lucu dalam cara yang membuatmu sakit dengan kesedihan -LRB-cara Chekhov lucu -RRB-, mendalam tanpa menjadi diri yang penting, hangat tanpa pernah menyerah pada sentimentalitas.",1,lucu cara buat sakit sedih lrbcara chekhov lucu rrb jadi diri penting hangat tanpa pernah serah sentimentalitas
85,1902,"A rip-off twice removed , modeled after -LRB- Seagal 's -RRB- earlier copycat Under Siege , sometimes referred to as Die Hard on a boat .","Sebuah rip-off dua kali dihapus, dimodelkan setelah -LRB-Seagal's -RRB- copycat sebelumnya Di bawah Pengepungan, kadang-kadang disebut Die Hard di atas kapal.",0,buah ripoff kali hapus model lrbseagals rrb copycat bawah kepung kadangkadang sebut die hard di atas kapal
86,372,"`` Frailty '' offers chills much like those that you get when sitting around a campfire around midnight , telling creepy stories to give each other the willies .","'Frailty' 'menawarkan kedinginan seperti yang Anda dapatkan saat duduk mengelilingi api unggun sekitar tengah malam, menceritakan kisah menyeramkan untuk saling memberi tahu.",1,frailty tawar dingin yang dapat duduk keliling api unggun tengah malam cerita kisah seram saling beri tahu
87,618,"A tired , unnecessary retread ... a stale copy of a picture that was n't all that great to begin with .",Vulkanisir yang lelah dan tidak perlu ... sebuah salinan basi dari sebuah gambar yang tidak terlalu bagus untuk dimulai.,0,vulkanisir lelah tidak perlu buah salin basi buah gambar tidak terlalu bagus mulai
88,6123,What an embarrassment .,Sungguh memalukan.,0,sungguh malu
89,2553,"Despite its floating narrative , this is a remarkably accessible and haunting film .","Meskipun narasi mengambang, ini adalah film yang sangat mudah diakses dan menghantui.",1,meski narasi ambang adalah film sangat mudah akses hantu
90,3990,"Equilibrium the movie , as opposed to the manifesto , is really , really stupid .","Equilibrium film, berlawanan dengan manifesto, benar-benar sangat bodoh.",0,equilibrium film lawan manifesto benarbenar sangat bodoh
91,3522,An awful snooze .,Tawon yang mengerikan,0,tawon keri
92,6726,"It would be churlish to begrudge anyone for receiving whatever consolation that can be found in Dragonfly , yet it is impossible to find the film anything but appalling , shamelessly manipulative and contrived , and totally lacking in conviction .","Akan sangat sulit untuk menyesatkan siapa pun karena menerima penghiburan apa pun yang dapat ditemukan di Dragonfly, namun tidak mungkin menemukan film itu apa adanya kecuali mengerikan, tanpa malu-malu manipulatif dan dibikin, dan sama sekali tidak memiliki keyakinan.",0,sangat sulit sesat siapa karena terima hibur apa yang temu dragonfly mungkin temu film apa kecuali keri malumalu manipulatif bikin sama sekali tidak milik yakin
93,3615,"Unexpected moments of authentically impulsive humor are the hallmark of this bittersweet , uncommonly sincere movie that portrays the frank humanity of ... emotional recovery .","Saat-saat tak terduga humor impulsif otentik adalah ciri khas film pahit ini, film yang luar biasa tulus yang menggambarkan kemanusiaan yang jujur ​​... pemulihan emosional.",1,saatsaat tak duga humor impulsif otentik ciri khas film pahit film luar biasa tulus gambar manusia jujur pulih emosional
94,2690,"Informative , intriguing , observant , often touching ... gives a human face to what 's often discussed in purely abstract terms .","Informatif, menarik, jeli, sering menyentuh ... memberi wajah manusia pada apa yang sering dibicarakan secara murni abstrak.",1,informatif tarik jeli sering sentuh beri wajah manusia apa sering bicara cara murni abstrak
95,5358,"Instead of a balanced film that explains the zeitgeist that is the X Games , we get a cinematic postcard that 's superficial and unrealized .","Alih-alih sebuah film seimbang yang menjelaskan zeitgeist yaitu X Games, kita mendapatkan kartu pos sinematik yang dangkal dan belum terealisasi.",0,alihalih buah film imbang jelas zeitgeist x games dapat kartu pos sinematik dangkal belum realisasi
96,7751,"Not only does the thoroughly formulaic film represent totally exemplify middle-of-the-road mainstream , it also represents glossy Hollywood at its laziest .","Film Rumus yang tidak lengkap ini benar-benar menggambarkan arus utama tengah jalan, ia juga mewakili Hollywood glossy yang paling malas.",0,film rumus tidak lengkap benarbenar gambar arus utama tengah jalan juga wakil hollywood glossy paling malas
97,4674,"Scooby Doo is surely everything its fans are hoping it will be , and in that sense is a movie that deserves recommendation .","Scooby Doo pastinya adalah segalanya yang diharapkan oleh para penggemarnya, dan dalam arti inilah sebuah film yang patut mendapat rekomendasi.",1,scooby doo adalah segala harap para gemar dalam arti buah film patut rekomendasi
98,2816,The latest Adam Sandler assault and possibly the worst film of the year .,Serangan Adam Sandler terbaru dan mungkin film terburuk tahun ini.,0,serang adam sandler baru mungkin film buruk tahun
99,6018,One of the most exciting action films to come out of China in recent years .,Salah satu film aksi paling seru untuk keluar dari China dalam beberapa tahun terakhir.,1,salah satu film aksi paling seru keluar china beberapa tahun akhir